id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
135397,32.985763,150000000.0,1513528810.0,Jurassic World,124,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238
76341,28.419936,150000000.0,378436354.0,Mad Max: Fury Road,120,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031
262500,13.112507,110000000.0,295238201.0,Insurgent,119,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628
140607,11.173104,200000000.0,2068178225.0,Star Wars: The Force Awakens,136,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
168259,9.335014,190000000.0,1506249360.0,Furious 7,137,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052
281957,9.1107,135000000.0,532950503.0,The Revenant,156,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731
87101,8.654359,155000000.0,440603537.0,Terminator Genisys,125,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
286217,7.6674,108000000.0,595380321.0,The Martian,141,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152
211672,7.40416499999999,74000000.0,1156730962.0,Minions,91,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551
150540,6.326804,175000000.0,853708609.0,Inside Out,94,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907
206647,6.200282,245000000.0,880674609.0,Spectre,148,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075
76757,6.189369,176000003.0,183987723.0,Jupiter Ascending,124,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
264660,6.118847,15000000.0,36869414.0,Ex Machina,108,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677
257344,5.984995,88000000.0,243637091.0,Pixels,105,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748
99861,5.944927,280000000.0,1405035767.0,Avengers: Age of Ultron,141,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177
273248,5.8984,44000000.0,155760117.0,The Hateful Eight,167,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332
260346,5.749758,48000000.0,325771424.0,Taken 3,109,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785
102899,5.573184,130000000.0,518602163.0,Ant-Man,115,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936
150689,5.556818,95000000.0,542351353.0,Cinderella,112,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268
131634,5.476958,160000000.0,650523427.0,The Hunger Games: Mockingjay - Part 2,136,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232
158852,5.462138,190000000.0,209035668.0,Tomorrowland,130,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398
307081,5.337064,30000000.0,91709827.0,Southpaw,123,6/15/15,1386,7.3,2015,27599987.8560053,84373003.7158783
254128,4.907832,110000000.0,470490832.0,San Andreas,114,5/27/15,2060,6.1,2015,101199955.472019,432851374.985395
216015,4.71040199999999,40000000.0,569651467.0,Fifty Shades of Grey,125,2/11/15,1865,5.3,2015,36799983.8080071,524079119.045187
318846,4.648046,28000000.0,133346506.0,The Big Short,130,12/11/15,1545,7.3,2015,25759988.6656049,122678731.541358
177677,4.566713,150000000.0,682330139.0,Mission: Impossible - Rogue Nation,131,7/23/15,2349,7.1,2015,137999939.280026,627743451.672881
214756,4.564549,68000000.0,215863606.0,Ted 2,115,6/25/15,1666,6.3,2015,62559972.4736121,198594430.13845
207703,4.503789,81000000.0,403802136.0,Kingsman: The Secret Service,130,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
314365,4.062293,20000000.0,88346473.0,Spotlight,128,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634
294254,3.968891,61000000.0,311256926.0,Maze Runner: The Scorch Trials,132,9/9/15,1849,6.4,2015,56119975.3072108,286356245.923251
198184,3.899557,49000000.0,102069268.0,Chappie,120,3/4/15,1990,6.6,2015,45079980.1648087,93903685.2423785
254470,3.877764,29000000.0,287506194.0,Pitch Perfect 2,115,5/7/15,1264,6.8,2015,26679988.2608051,264505582.097543
296098,3.64821,40000000.0,162610473.0,Bridge of Spies,141,10/15/15,1638,7.1,2015,36799983.8080071,149601569.335309
257445,3.644541,58000000.0,150170815.0,Goosebumps,103,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088
264644,3.557846,6000000.0,35401758.0,Room,117,10/16/15,1520,8.0,2015,5519997.57120106,32569603.0293746
105864,3.339135,175000000.0,331926147.0,The Good Dinosaur,93,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354
241554,3.23737,50000000.0,71561644.0,Run All Night,114,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592
167073,3.227329,11000000.0,62076141.0,Brooklyn,111,11/4/15,754,7.3,2015,10119995.5472019,57110024.5915891
277216,3.202719,28000000.0,201634991.0,Straight Outta Compton,147,8/13/15,918,7.7,2015,25759988.6656049,185504110.098191
274854,3.080505,90000000.0,140396650.0,The Last Witch Hunter,106,10/21/15,879,5.6,2015,82799963.568016,129164861.167461
321697,3.079522,30000000.0,34441873.0,Steve Jobs,122,10/9/15,1035,6.9,2015,27599987.8560053,31686509.2179359
203801,3.053421,75000000.0,108145109.0,The Man from U.N.C.L.E.,116,8/13/15,1548,7.0,2015,68999969.6400133,99493456.5028791
